label,title
18,where are fire stations in utrecht?
18,where are five star hotels in the happy valley ski resort
18,where are the five star hotels in the happy valley ski resort
18,which is the biggest park in utrecht?
18,where are not conservation areas in uk
18,where are the hispanic food stores in tarrant county in texas
18,show the vegetation areas larger than 6000 square meters in the cape peninsula?
18,where are commercial areas in amsterdam?
18,what are the vegetation areas larger than 6000 square meters in the cape peninsula
18,where are the fire stations in utrecht
18,where are the hispanic food stores in tarrant county texas?
18,which park is biggest in utrecht
19,which areas are within a quarter mile of the planned commercial district in gresham?
19,what areas are accessible within two miles of urban land use in loudoun county in the us?
19,what are the areas within a quarter mile of the planned commercial district in gresham?
19,what areas are accessible within reach two miles of urban landuse in loudoun county in us
19,which areas are accessible within reach of two miles of urban land use in loudoun county in the us?
19,what areas are within a quarter mile of planned commercial district in gresham
19,what reachable areas are within a quarter mile of the planned commercial district in gresham?
19,what areas are within two miles of urban landuse in loudoun county in us
21,what liquor stores are within 1000 foot of schools in el cajon
21,what liquor stores are within 1000 foot of parks in el cajon
21,what liquor stores are within 1000 feet of parks in el cajon?
21,which liquor stores in el cajon are within 1000 feet of libraries
21,which liquor stores are within 1000 feet of libraries in el cajon
21,what houses are for sale and within 1km from the parks in utrecht
21,"what liquor stores are within 1000 foot of schools, libraries, and parks in el cajon"
21,which liquor stores are within 1000 feet of schools in el cajon?
21,what liquor stores are within 1000 feet of libraries in el cajon?
21,which liquor stores are within 1000 feet of libraries in el cajon?
21,which vacant lots are within 1 mile of a freeway in hillsboro?
27,how many high school students are there in each senior high school district in oleander?
27,what's the number of hispanics for each census block in tarrant county in texas?
27,how many elderly people are there in each neighborhood in amsterdam?
27,how many students are there in each high school district in oleander?
27,tell me the number of high school students in each senior high school district in oleander?
27,how many hispanics are there in each census block in tarrant county texas?
27,what is the number of inhabitants for each village in banten province in indonesia?
27,how many households are there in each precinct in dallas county?
27,how many hispanics do you have in a census block in texas?
27,what is the number of hispanics for each census block in tarrant county texas?
27,what is the number of inhabitants for each village in banten province in indonesia
27,what's the number of high school students for each senior high school district in oleander?
27,what is the number of crime cases for each police district in texas in 2018
27,how many households do dallas county have?
27,tell me the number of hispanics for each census block in tarrant county in texas?
27,what's the number of inhabitants for each village in banten province in indonesia?
27,what is the number of elderly people for each neighborhood in amsterdam
27,what is the number of hispanics for each census block in tarrant county in texas
27,tell me the number of elderly people in each neighborhood of amsterdam
27,what is the number of households for each precinct in dallas county?
28,how is street pavement in new york city?
28,tell me the median household income for each census block in tarrant county texas
28,how many injured pedestrians were there in each census tract in georgia from 2000 to 2007?
28,what is the number of pedestrians injured in each census tract in georgia from 2000 to 2007?
28,show me the median age for each census tract in tarrant county texas
28,tell me the median age for each census tract in tarrant county texas?
28,what's the median household income for each census block in tarrant county in texas?
28,tell me the median number of family members for each census block in tarrant county texas?
28,what is the median household income for each census block in tarrant county in texas?
28,how many pedestrians were injured in georgia from 2000 to 2007?
28,what's the median population for each census block in tarrant county texas?
28,show me the median people age for each census tract in tarrant county in texas
28,what is the median population for each census block in tarrant county in texas
28,tell me the median population for each census block in tarrant county texas?
28,tell me the median household income for each census block in tarrant county in texas
28,what is the number of injured pedestrians for each census tract in georgia from 2000 to 2007 
28,what is the median household income for each census block in tarrant county in texas
28,tell me the median population of a census block in tarrant county in texas?
28,tell me the median household income for each census block in tarrant county texas?
28,what is the average rating of street pavement for each borough in new york city
32,what is the mean center of accidents weighted by priority for each alarm territories in fort worth
32,what is the mean center of crimes in amsterdam in 2019
32,what is the point density of cycling destinations in the metro vancouver region in canada
32,what is the point density of fire calls in oleander
33,what's the population density in california?
33,what areas do have population density less than 300 per square kilometer in uk
33,which areas in the uk have a population density less than 300 per square kilometer?
33,what areas have a population density less than 300 per square kilometer in the uk?
33,what is the point density of trees in parks in oleander
33,what is the total area of agriculture in netherlands
33,what is the population density in california
39,which house is for sale within 1 km of the nearest supermarket from my current location in utrecht
39,what houses are for sale and within 1km from the nearest subway station (from my current location) in utrecht
39,which house is for sale within 1 km of the nearest supermarket from my current location in utrecht?
39,what houses are for sale and within 1km from the nearest supermarket (from my current location) in utrecht
39,what houses are larger than 30 square meters and within 1km from the nearest school (from my current location) in utrecht
42,which areas are within 20 minutes of flower shops in oleander?
42,what areas are within 15 minutes walking distance of a metro rail station in kochi in india
42,what areas are within 15 minutes walk of a metro station in kochi in india?
42,which areas are within 15 minutes walking distance of a metro station in kochi in india?
42,what areas are within 20 minutes driving time from flower stores in oleander
42,which houses are within 2 minutes driving time from fire stations  (from my current location) in oleander
44,show the areas with a slope greater than 15 percent and smaller than 60 percent in the cape peninsula?
44,which areas in spain have a slope greater than 10 percent
44,which areas in the cape peninsula have slopes greater than 15 percent and smaller than 60 percent?
44,what areas have an aspect larger than 45 degree and smaller than 135 degrees in the cape peninsula
44,what areas do have slope larger than 10 percent in spain
44,what regions of cape peninsula have slopes greater than 15 percent and smaller than 60 percent?
44,what areas do have altitude between 700 and 2000 meters in spain
44,what regions have slopes greater than 10 percent in spain?
44,what areas have a slope greater than 15 percent and smaller than 60 percent in the cape peninsula?
46,show the areas with a temperature below 0 degrees in spain
46,what areas in spain have temperatures in celsius greater than 0 degrees
46,which areas in the cape peninsula have an annual rainfall of more than 1000 millimeters
46,what regions of cape peninsula have an annual rainfall of more than 1000 millimeters?
46,what areas have an annual rainfall of less than 1000 millimeters in the cape peninsula?
46,what regions have annual snowfall more than 1000 millimeters in the cape peninsula?
46,what areas have an annual amount of snowfall more than 1000 millimeters in the cape peninsula?
46,which areas in the cape peninsula have an annual rainfall of less than 1000 millimeters
46,what areas in spain have temperatures in celsius greater than 0 degrees?
46,which areas in the cape peninsula have an annual rainfall of more than 1000 millimeters?
46,what regions of cape peninsula have a monthly rainfall of more than 1000 millimeters?
46,what areas do have temperature in celsius less than 0 degrees in spain
46,which areas in the cape peninsula have an annual snowfall of more than 1000 millimeters?
46,which areas in the cape peninsula have a monthly rainfall of more than 1000 millimeters
46,what areas do have temperature in celsius larger than 0 degrees in spain
46,what areas have an annual rainfall of more than 1000 millimeters in the cape peninsula
46,what areas have an annual amount of snowfall more than 1000 millimeters in the cape peninsula
46,which areas in the cape peninsula have a monthly rainfall of more than 1000 millimeters?
46,which areas in the cape peninsula have an annual amount of snowfall more than 1000 millimeters
50,which schools are not accessible within 3 minutes of driving time from a fire station in fort worth
50,what are the four fire stations within 3 minutes of travel time from a fire in san francisco
50,which schools are not accessible within 3 minutes by car from a fire station in fort worth?
50,which schools are not accessible within 3 minutes of driving time from a fire station in fort worth?
50,list the areas within four minutes of each fire station at 2 am on tuesday in utrecht?
50,what are the areas within a four-minute drive of each fire station at 2 a.m. on tuesday in utrecht
50,how many buildings are within 3 minutes of driving time from fire stations in oleander
50,which schools are not accessible within 3 minutes by a car from a fire station in fort worth
50,show me the number of buildings in three minutes drive of the fire station in oleander?
50,which areas are within a four-minute drive of each fire station on tuesday in utrecht?
50,how many buildings are within 3 minutes of driving time from fire stations in oleander?
53,which areas are accessible within 3 minutes by car from the nearest fire station from my current location in oleander
53,which areas are accessible by car within 3 minutes from the nearest fire station from my current location in oleander? i
53,which houses are within 3 minutes of the nearest fire station from my current location in oleander? i
53,what areas are outside 3 minutes of driving time from the nearest fire station (from my current location) in oleander
53,what areas are accessible by car within 3 minutes from the nearest fire station from my current location in oleander?
53,show the areas that are accessible by car from the nearest fire station from my current location in oleander?
53,what areas are accessible within 3 minutes of by car from the nearest fire station (from my current location) in oleander
53,which houses are within 3 minutes driving time from the nearest fire station (from my current location) in oleander
53,what areas are reachable within 3 minutes by car from the nearest fire station from my current location in oleander?
53,which areas are accessible by car within 3 minutes from the nearest fire station from my current location in oleander?
53,which areas are within 3 minutes of driving time from the nearest fire station from my current location in oleander?
53,what areas are within 3 minutes of by car from the nearest fire station (from my current location) in oleander
